In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcEPackage.allInstances()->forAll(p | TrgOperation.allInstances()->one(op | Sequence{1..op.name.size()}->exists(i | Sequence{i..op.name.size()} -> exists(j | op.name.substring(i,j)=p.name and op.coarity.name='@Package'))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
MetamodelEqPackages;0.0;0.18;0.18;0.59;0.18000000000000005;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;17.012048192771083;0.18;0.18;0.0;0.0;0.0989010989010989;3.951219512195122;0.5
EnumLitConstant;-0.06557377049180328;0.05555555555555555;0.74;0.07777777777777778;0.09999999999999998;-0.06734006734006734;0.006024096385542169;6.535832374199933E-7;0.07453559924999299;-0.06941056083938048;0.891566265060241;0.01;0.26851234356441434;0.053865652724968315;0.06333164190995488;0.5873015873015873;0.038461538461538464;0.3360655737704918
ClassEqSuperTypes;0.5274102079395085;0.47368421052631576;0.8;0.7368421052631579;0.4736842105263158;0.5824634655532359;0.1;0.47368421052631576;0.6882472016116853;0.5984575809960173;17.759036144578314;0.18;0.7199137912792762;0.0;0.5984254902907015;0.6666666666666666;16.2;0.803921568627451
AttEqSpecificDefaultValue;0.9291784702549575;0.8888888888888888;0.98;0.9444444444444444;1.0;0.9304964539007092;1.0;0.8888888888888888;0.9428090415820635;0.931517508007696;16.0;0.16;0.9631142903794541;0.08888888888888889;0.9314513751369796;0.9607843137254902;128.0;1.0
EqLowerBound;0.8201438848920863;0.75;0.94;0.875;0.75;0.8290909090909091;0.3333333333333333;0.75;0.8660254037844386;0.8337397382993761;17.927710843373493;0.18;0.9016175453195919;0.0;0.8336889283879012;0.8867924528301887;54.0;0.9318181818181818
AttEqIsId;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;18.0;0.18;1.0;0.0;0.9999322539123366;1.0;1.0;1.0
EqIsOrdered;0.8201438848920863;0.75;0.94;0.875;0.75;0.8290909090909091;0.3333333333333333;0.75;0.8660254037844386;0.8337397382993761;17.927710843373493;0.18;0.9016175453195919;0.0;0.8336889283879012;0.8867924528301887;54.0;0.9318181818181818
Initialize;0.0;0.18;0.18;0.59;0.18000000000000005;0.0;0.024390243902439025;0.18;0.4242640687119285;0.0;17.012048192771083;0.18;0.18;0.0;0.0;0.0989010989010989;3.951219512195122;0.5
EnumLitList;-0.1245674740484429;0.0;0.74;0.0;0.0;-0.1301989150090416;0.0;0.0;0.0;-0.1381593897175512;-0.0963855421686747;0.0;0.0;0.044226044226044224;0.0;0.5873015873015873;0.0;0.0
RefEqOpposite;0.4065281899109792;0.4444444444444444;0.84;0.5079365079365079;0.5714285714285714;0.408955223880597;0.06451612903225806;1.0663254425250586E-4;0.5039526306789696;0.41107790664566357;7.927710843373494;0.08;0.6711719940620471;0.06809338521400778;0.4560522261699233;0.7241379310344828;4.0;0.8586387434554974
